time,open,high,low,close,symbol,volume,quote_volume,ÕÇµø·ù,Õñ·ù,ÉÏÕÇ,ÏÂµø,Dc_2,ApzUpper_2,Turtle_2,ÉÏÕÇÊýÁ¿,ÏÂµøÊýÁ¿,ÉÏÕÇ±ÈÀý,rank_Dc_2,rank_ÕÇµø·ù,rank_Õñ·ù,rank_sum,rank
2022-05-31 11:59:00,13.83,14.8,11.7,11.89,TRB-USDT,4545080.0,60303700.088,-0.14027476500361524,0.22415039768618955,0,1,0.3623304070231445,0.9999999992883071,0.0,62,96,0.3924050632911392,2.0,1.0,5.0,8.0,1.0
2022-07-10 23:59:00,15.87,16.85,14.11,14.53,TRB-USDT,6475151.2,99172240.881,-0.08385876418663307,0.17265280403276637,0,1,0.17700258397932828,0.9999999992645903,-0.8181818099173572,14,153,0.08383233532934131,1.0,1.0,1.0,3.0,1.0
2022-07-18 23:59:00,20.89,26.9,16.21,17.81,TRB-USDT,15207139.4,307988810.017,-0.14743896601244622,0.5117280995691718,0,1,0.4959406170262119,0.9999999998697182,0.0,149,20,0.8816568047337278,1.0,1.0,1.0,3.0,1.0
2022-07-24 11:59:00,20.4,21.2,19.54,19.91,TRB-USDT,5881566.7,118676589.348,-0.02401960784313717,0.08137254901960786,0,1,0.22943949711891057,0.0,0.0,147,25,0.8546511627906976,2.0,3.0,14.0,19.0,1.0
2022-02-25 23:59:00,0.06153,0.0628,0.0554,0.05935,TRX-USDT,2888422743.0,168696719.29018,-0.03527308192457734,0.12026653664878915,0,1,0.12521150592216576,0.9999997060546738,0.0,142,1,0.993006993006993,21.0,1.0,9.0,31.0,1.0
2021-04-15 11:59:00,34.999,35.9,31.509,32.765,UNFI-USDT,990052.2,33440164.053799998,-0.06479235050663612,0.12546072744935563,0,1,0.29456382321736785,0.9999999977564543,0.0,73,34,0.6822429906542056,4.0,5.0,15.0,24.0,1.0
2021-05-24 11:59:00,10.875,13.336,9.674,11.114,UNFI-USDT,13334523.4,148574137.9602,0.022164995861307935,0.3367356321839081,1,0,0.833893398128522,0.9999999951634483,0.055542751658117985,111,0,1.0,1.0,2.0,9.0,12.0,1.0
2021-06-16 23:59:00,9.945,10.06,9.157,9.258,UNFI-USDT,1715460.7,16475316.9913,-0.06898632341110233,0.09079939668174966,0,1,0.1553182917002419,0.0,0.0,35,78,0.30973451327433627,9.0,1.0,10.0,20.0,1.0
2021-06-18 11:59:00,9.51,9.51,8.503,8.613999999999999,UNFI-USDT,809830.2,7185493.2813,-0.09393078784053865,0.10588853838065192,0,1,0.14638399912801786,0.9999999841602013,-2.003076861443798,14,99,0.12389380530973451,6.0,1.0,4.0,11.0,1.0
2021-07-05 23:59:00,5.811,5.978,5.322,5.815,UNFI-USDT,2486426.8,14414844.851499999,-0.0006874033339060448,0.1128893477886766,0,1,0.15768065772392897,0.9999999779309289,-0.008928571229271973,103,11,0.9035087719298246,10.0,10.0,15.0,35.0,1.0
2021-07-23 11:59:00,7.23,7.492999999999999,6.573,6.789,UNFI-USDT,6603423.9,46760261.9805,-0.06112570875397594,0.12724757952973706,0,1,0.23788546255506593,0.9999999942421383,0.0,46,69,0.4,3.0,1.0,10.0,14.0,1.0
2021-07-26 11:59:00,9.554,10.95,8.943999999999999,9.069,UNFI-USDT,16742209.4,165104587.5339,-0.05006808421493658,0.20996441281138792,0,1,0.3573735199138859,0.9999999989040599,0.0,108,7,0.9391304347826087,1.0,7.0,9.0,17.0,1.0
2021-08-17 11:59:00,13.407,13.76,12.167,13.644,UNFI-USDT,2059948.9,27171875.2474,0.016994633273702986,0.11881852763481764,1,0,0.1741511911461264,0.9999999977122949,0.0,117,2,0.9831932773109243,17.0,15.0,31.0,63.0,1.0
2021-12-13 11:59:00,9.704,10.258,8.937999999999999,9.066,UNFI-USDT,10751167.0,102218418.335,-0.06564979903122736,0.13602638087386645,0,1,0.22486953771546034,0.9999999977273124,0.0,3,135,0.021739130434782608,1.0,8.0,2.0,11.0,1.0
2021-12-26 11:59:00,9.291,9.362,8.63,8.806000000000001,UNFI-USDT,1785601.4,15791470.8699,-0.05169071720870111,0.07878592185986431,0,1,0.08732269503546082,0.9999999957279775,-47.999952000048886,35,104,0.2517985611510791,20.0,1.0,19.0,40.0,1.0
2022-01-25 23:59:00,5.962000000000001,6.069,5.6,5.761,UNFI-USDT,20232951.2,117100146.3183,-0.033064786841221716,0.07866487755786652,0,1,0.13721413721413725,0.0,0.0,121,21,0.852112676056338,8.0,5.0,32.0,45.0,1.0
2022-02-20 23:59:00,4.994,5.05,4.671,4.732,UNFI-USDT,4458386.7,21555005.5592,-0.05208333333333326,0.07589106928313968,0,1,0.16084260261836797,0.0,-0.5816554679719129,26,116,0.18309859154929578,1.0,2.0,6.0,9.0,1.0
2022-03-04 23:59:00,6.367999999999999,6.718999999999999,5.518,5.557,UNFI-USDT,6574591.0,40760242.303,-0.1279033270558695,0.18859924623115573,0,1,0.19628994034485572,0.9999999982305791,-2.5400842810090984,0,143,0.0,2.0,1.0,1.0,4.0,1.0
2022-05-30 11:59:00,3.204,3.7,3.052,3.161,UNFI-USDT,56376163.8,188939176.8752,-0.013420724094881487,0.20224719101123598,0,1,0.5165788131270193,0.9999999966801106,0.0,149,8,0.9490445859872612,2.0,7.0,7.0,16.0,1.0
2022-06-08 11:59:00,18.784,20.8,8.36,10.738,UNFI-USDT,243449913.6,2669086861.9971,-0.42828239804067725,0.6622657580919933,0,1,1.7263390204566678,0.9999999980029526,0.0,70,91,0.43478260869565216,1.0,1.0,1.0,3.0,1.0
